"","E","C"
"1",0.200929261631273,0.0966739120863448
"2",0.334153473075013,0.159670575359146
"3",0.467283368923931,0.215056663350041
"4",0.600574161191519,0.265849707601306
"5",0.734015286975248,0.312978405781498
"6",0.867303193873216,0.35661775995538
"7",1.00071353023597,0.39500807380368
"8",1.13417381576561,0.429247925709742
"9",1.26734791434415,0.459283553689357
"10",1.400611943567,0.486441221379886
"11",1.53399230046667,0.510132549348879
"12",1.6673958957059,0.526840506236651
"13",1.8006124349963,0.542610474012063
"14",1.93393000381189,0.552755875346251
"15",1.93266928892316,0.527005516055742
"16",1.79922513164802,0.486316507087352
"17",1.66588902783394,0.45864284631521
"18",1.5325761347665,0.440927773728461
"19",1.39949802530989,0.421443741751771
"20",1.26604860523342,0.399817421142503
"21",1.13267442787288,0.377789110136167
"22",0.999335130661307,0.348147581608773
"23",0.866007373705037,0.318019196845518
"24",0.732576152514462,0.283167881493007
"25",0.599323229845655,0.242963635418711
"26",0.465950724918318,0.196027062680446
"27",0.332681946242523,0.144391193951753
"28",0.199299284659147,0.0899389576770384
"29",0.0660089922106583,0.0301716082794747
