"","E","C"
"1",0.202780731869846,0.0926000482725264
"2",0.335733429966549,0.153923193764651
"3",0.46317113002123,0.203034460969957
"4",0.604671322140696,0.265980646580135
"5",0.727709223956154,0.316504164640413
"6",0.875197164774029,0.357561735954184
"7",0.998193713490635,0.407864498431553
"8",1.13832711705892,0.445988787501309
"9",1.2714876385219,0.477339054725871
"10",1.40680793623239,0.514766372904173
"11",1.5321672870237,0.551724951425957
"12",1.66508525292308,0.576842293287684
"13",1.80458685614378,0.599224546509678
"14",1.92828594623057,0.62761464811109
"15",2.06976309873715,0.65471282881937
"16",2.20257300824526,0.674012681170399
"17",2.32814684670416,0.693148246560447
"18",2.4706698562168,0.714515082501062
"19",2.60892175982776,0.716944951594084
"20",2.72372923449378,0.726451605970041
"21",2.86880907388674,0.724155289878253
"22",2.99896049361198,0.74059317176496
"23",3.13634859623975,0.728522385242151
"24",3.27134139364281,0.730907227037314
"25",3.40313697037631,0.727145753103594
"26",3.53392575885739,0.718019040233089
"27",3.66879752574736,0.704660650209807
"28",3.79573651513758,0.705168248517814
"29",3.93525001399343,0.682388701846238
